,address,decimal
0,0x2170ed0880ac9a755fd29b2688956bd959f933f8,18
1,0x55d398326f99059ff775485246999027b3197955,18
2,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,18
3,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,18
4,0x8965349fb649a33a30cbfda057d8ec2c48abe2a2,18
5,0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe,18
6,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,18
7,0xba2ae424d960c26247dd6c32edc70b295c744c43,8
8,0xcc42724c6683b7e57334c4e856f4c9965ed682bd,18
9,0x7083609fce4d1d8dc0c979aab8c869ea2c873402,18
10,0xce7de646e7208a4ef112cb6ed5038fa6cc6b12e3,6
11,0x4338665cbb7b2485a8855a139b75d5e34ab0db94,18
12,0xe9e7cea3dedca5984780bafc599bd69add087d56,18
13,0x2859e4544c4bb03966803b044a93563bd2d0dd4d,18
14,0x1ce0c2827e2ef14d5c4f29a091d735a204794041,18
15,0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3,18
16,0xf8a0bf9cf54bb92f17374d9e9a321e6a111a51bd,18
17,0x0eb3a705fc54725037cc9e008bdede697f62f335,18
18,0xbf5140a22578168fd562dccf235e5d43a02ce9b1,18
19,0x76A797A59Ba2C17726896976B7B3747BfD1d220f,9
20,0x3d6545b08693dae087e957cb1180ee38b9e3c25e,18
21,0x8595f9da7b868b1822194faed312235e43007b49,18
22,0x8ff795a6f4d97e7887c79bea79aba5cc76444adf,18
23,0x14016e85a25aeb13065688cafb43044c2ef86784,18
24,0x40af3827F39D0EAcBF4A168f8D4ee67c121D11c9,18
25,0x1fa4a73a3f0133f0025378af00236f3abdee5d63,18
26,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,18
27,0xb3c11196a4f3b1da7c23d9fb0a3dde9c6340934f,18
28,0xad29abb318791d579433d831ed122afeaf29dcfe,18
29,0x29ced01c447166958605519f10dcf8b0255fb379,18
30,0x90c97f71e18723b0cf0dfa30ee176ab653e89f40,18
31,0xbf7c81fff98bbe61b40ed186e4afd6ddd01337fe,18
32,0x56b6fb708fc5732dec1afc8d8556423a2edccbd6,18
33,0xb7f8cd00c5a06c0537e2abff0b58033d02e5e094,18
34,0x16939ef78684453bfdfb47825f8a5f714f12623a,18
35,0x715d400f88c167884bbcc41c5fea407ed4d2f8a0,18
36,0xc943c5320b9c18c153d1e2d12cc3074bebfb31a2,18
37,0xd17479997F34dd9156Deef8F95A52D81D265be9c,18
38,0x045c4324039dA91c52C55DF5D785385Aab073DcF,18
39,0x9ac983826058b8a9c7aa1c9171441191232e8404,18
40,0x5f0da599bb2cccfcf6fdfd7d81743b6020864350,18
41,0x352Cb5E19b12FC216548a2677bD0fce83BaE434B,18
42,0x7950865a9140cb519342433146ed5b40c6f210f7,18
43,0x1ba42e5193dfa8b03d15dd1b86a3113bbbef8eeb,18
44,0x0ef2e7602add1733bfdb17ac3094d0421b502ca3,18
45,0xd944f1d1e9d5f9bb90b62f9d45e447d989580782,6
46,0xe48a3d7d0bc88d552f730b62c006bc925eadb9ee,18
47,0x4b0f1812e5df2a09796481ff14017e6005508003,18
48,0xb86abcb37c3a4b64f74f59301aff131a1becc787,12
49,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,18
50,0xfb5b838b6cfeedc2873ab27866079ac55363d37e,9
51,0x64048a7eecf3a2f1ba9e144aac3d7db6e58f555e,18
52,0x111111111117dc0aa78b770fa6a738034120c302,18
53,0xc748673057861a797275CD8A068AbB95A902e8de,9
54,0x101d82428437127bf1608f699cd651e6abf9766e,18
55,0x361c60b7c2828fcab80988d00d1d542c83387b50,18
56,0xf307910a4c7bbc79691fd374889b36d8531b08e3,18
57,0x47bead2563dcbf3bf2c9407fea4dc236faba485a,18
58,0x52ce071bd9b1c4b00a0b92d298c512478cad67e8,18
59,0x4d2d32d8652058bf98c772953e1df5c5c85d9f45,18
60,0x812764fa37a4fd731a5d39f0e519b6b8d61e82a0,18
61,0x3019bf2a2ef8040c242c9a4c5c4bd4c81678b2a1,8
62,0x4d5ac5cc4f8abdf2ec2cb986c00c382369f787d4,18
63,0x7ddee176f665cd201f93eede625770e2fd911990,18
64,0x88f1a5ae2a3bf98aeaf342d26b30a79438c9142e,18
65,0x302cd8973be5ca2334b4ff7e7b01ba41455559b3,18
66,0x3cd55356433c89e50dc51ab07ee0fa0a95623d53,18
67,0xea998d307aca04d4f0a3b3036aba84ae2e409c0a,18
68,0x9678e42cebeb63f23197d726b29b1cb20d0064e5,18
69,0x031b41e504677879370e9dbcf937283a8691fa7f,18
70,0xad6caeb32cd2c308980a548bd0bc5aa4306c6c18,18
71,0x882c173bc7ff3b7786ca16dfed3dfffb9ee7847b,8
72,0xfd7b3a77848f1c2d67e05e54d78d174a0c850335,18
73,0xa3f020a5c92e15be13caf0ee5c95cf79585eecc9,18
74,0x23396cf899ca06c4472205fc903bdb4de249d6fc,18
75,0xd41fdb03ba84762dd66a0af1a6c8540ff1ba5dfb,18
76,0x2dfF88A56767223A5529eA5960Da7A3F5f766406,18
77,0x8b1f4432f943c465a973fedc6d7aa50fc96f1f65,6
78,0x8FFf93E810a2eDaaFc326eDEE51071DA9d398E83,9
79,0x08a84af1368cd333073ac5dfb2254208e06b3a70,18
80,0x9b17baadf0f21f03e35249e0e59723f34994f806,18
81,0x8da443f84fea710266c8eb6bc34b71702d033ef2,18
82,0xB0D502E938ed5f4df2E681fE6E419ff29631d62b,18
83,0x1f9f6a696c6fd109cd3956f45dc709d2b3902163,18
84,0xBc7d6B50616989655AfD682fb42743507003056D,8
85,0x371c7ec6d8039ff7933a2aa28eb827ffe1f52f07,18
86,0xeca88125a5adbe82614ffc12d0db554e2e2867c8,8
87,0xfe56d5892bdffc7bf58f2e84be1b2c32d21c308b,18
88,0x1fc9004ec7e5722891f5f38bae7678efcb11d34d,6
89,0x20ee7b720f4e4c4ffcb00c4065cdae55271aecca,6
90,0x039cb485212f996a9dbb85a9a75d898f94d38da6,18
91,0x949d48eca67b17269629c7194f4b727d4ef9e5d6,18
92,0x070a08beef8d36734dd67a491202ff35a6a16d97,18
93,0xaec945e04baf28b135fa7c640f624f8d90f1c3a6,18
94,0xebd49b26169e1b52c04cfd19fcf289405df55f80,18
95,0xaf53d56ff99f1322515e54fdde93ff8b3b7dafd5,18
96,0x42981d0bfbAf196529376EE702F2a9Eb9092fcB5,9
97,0x1ae369a6ab222aff166325b7b87eb9af06c86e57,18
98,0xa4080f1778e69467e905b8d6f72f6e441f9e9484,18
99,0xac51066d7bec65dc4589368da368b212745d63e8,6
100,0xac51066d7bec65dc4589368da368b212745d63e8,6
101,0xadbaf88b39d37dc68775ed1541f1bf83a5a45feb,18
102,0x98f8669f6481ebb341b522fcd3663f79a3d1a6a7,18
103,0x5f588efaf8eb57e3837486e834fc5a4e07768d98,18
104,0x3203c9e46ca618c8c1ce5dc67e7e9d75f5da2377,18
105,0xa1faa113cbe53436df28ff0aee54275c13b40975,18
106,0x42F6f551ae042cBe50C739158b4f0CAC0Edb9096,18
107,0xf7DE7E8A6bd59ED41a4b5fe50278b3B7f31384dF,18
108,0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63,18
109,0xa260e12d2b924cb899ae80bb58123ac3fee1e2f0,18
110,0xa1428370f540b4c4e319224165ecae513a391f77,18
111,0x7db5af2B9624e1b3B4Bb69D6DeBd9aD1016A58Ac,9
112,0xbe1a001fe942f96eea22ba08783140b9dcc09d28,18
113,0xa069008a669e2af00a86673d9d584cfb524a42cc,18
114,0x0112e557d400474717056c4e6d40edd846f38351,18
115,0x0856978f7ffff0a2471b4520e3521c4b3343e36f,18
116,0x9c65ab58d8d978db963e63f2bfb7121627e3a739,18
117,0xa8c2b8eec3d368c0253ad3dae65a5f2bbb89c929,6
118,0x95c78222b3d6e262426483d42cfa53685a67ab9d,8
119,0xe91a8d2c584ca93c7405f15c22cdfe53c29896e3,18
120,0x8e17ed70334c87ece574c9d537bc153d8609e2a3,8
121,0x4bd17003473389a42daf6a0a729f6fdb328bbbd7,18
122,0xb6c53431608e626ac81a9776ac3e999c5556717c,18
123,0x2222227e22102fe3322098e4cbfe18cfebd57c95,4
124,0xe0f94ac5462997d2bc57287ac3a3ae4c31345d66,18
125,0xe80772eaf6e2e18b651f160bc9158b2a5cafca65,6
126,0x8094e772fa4a60bdeb1dfec56ab040e17dd608d5,9
127,0x762539b45a1dcce3d36d080f74d1aed37844b878,18
128,0x12bb890508c125661e03b09ec06e404bc9289040,18
129,0xf21768ccbc73ea5b6fd3c687208a7c2def2d966e,18
130,0x67ee3cb086f8a16f34bee3ca72fad36f7db929e2,18
131,0x965f527d9159dce6288a2219db51fc6eef120dd1,18
132,0xc2c28b58db223DA89b567A0A98197Fc17C115148,15
133,0x7324c7c0d95cebc73eea7e85cbaac0dbdf88a05b,18
134,0xa2120b9e674d3fc3875f415a7df52e382f141225,18
135,0x766AFcf83Fd5eaf884B3d529b432CA27A6d84617,18
136,0x7ddc52c4de30e94be3a6a0a2b259b2850f421989,18
137,0x3F56e0c36d275367b8C502090EDF38289b3dEa0d,18
138,0xa026Ad2ceDa16Ca5FC28fd3C72f99e2C332c8a26,18
139,0xbd2949f67dcdc549c6ebe98696449fa79d988a9f,18
140,0x2003f7ba57ea956b05b85c60b4b2ceea9b111256,18
141,0x8443f091997f06a61670b735ed92734f5628692f,18
142,0xd1738eb733a636d1b8665f48bc8a24da889c2562,18
143,0xe9c803f48dffe50180bd5b01dc04da939e3445fc,18
144,0x7e624fa0e1c4abfd309cc15719b7e2580887f570,18
145,0x1236a887ef31B4d32E1F0a2b5e4531F52CeC7E75,6
146,0x857b222fc79e1cbbf8ca5f78cb133d1b7cf34bbd,18
147,0x7f70642d88cf1c4a3a7abb072b53b929b653eda5,18
148,0xe6df05ce8c8301223373cf5b969afcb1498c5528,18
149,0xCa3F508B8e4Dd382eE878A314789373D80A5190A,18
150,0x9abdba20edfba06b782126b4d8d72a5853918fd0,9
151,0xebc76079da0c245fae7225b58a57a54809b40618,9
152,0x4e6415a5727ea08aae4580057187923aec331227,18
153,0xfd5840cd36d94d7229439859c0112a4185bc0255,8
154,0x89dB9B433FeC1307d3dc8908f2813e9f7a1d38F0,18
155,0x631c2f0edabac799f07550aee4ff0bf7fd35212b,18
156,0xd4cb328a82bdf5f03eb737f37fa6b370aef3e888,18
157,0xb59490ab09a0f526cc7305822ac65f2ab12f9723,18
158,0x8f0528ce5ef7b51152a59745befdd91d97091d2f,18
159,0xC001BBe2B87079294C63EcE98BdD0a88D761434e,9
160,0xdb021b1b247fe2f1fa57e0a87c748cc1e321f07f,9
161,0x13616f44ba82d63c8c0dc3ff843d36a8ec1c05a9,18
162,0xE02dF9e3e622DeBdD69fb838bB799E3F168902c5,18
163,0x668db7aa38eac6b40c9d13dbe61361dc4c4611d1,18
164,0x09e889bb4d5b474f561db0491c38702f367a4e4d,18
165,0x0b15ddf19d47e6a86a56148fb4afffc6929bcb89,18
166,0x99956d38059cf7beda96ec91aa7bb2477e0901dd,18
167,0x90ed8f1dc86388f14b64ba8fb4bbd23099f18240,18
168,0x8263cd1601fe73c066bf49cc09841f35348e3be0,18
169,0xd40bedb44c081d2935eeba6ef5a3c8a31a1bbe13,18
170,0x96dd399f9c3afda1f194182f71600f1b65946501,18
171,0xa7f552078dcc247c2684336020c03648500c6d9f,18
